CD_SEX,MATRIC
F,0000001
F,0000002
F,0000014
F,0000017
F,0000041
F,0000050
F,0000052
F,0000060
F,0000079
F,0000085
F,0000100
F,0000103
F,0000105
F,0000119
F,0000122
F,0000134
F,0000136
F,0000141
F,0000154
F,0000157
F,0000163
F,0000165
F,0000179
F,0000185
F,0000186
F,0000195
F,0000203
F,0000210
F,0000216
F,0000233
F,0000235
F,0000239
F,0000245
F,0000257
F,0000263
F,0000282
F,0000287
F,0000295
F,0000299
F,0000322
F,0000327
F,0000330
F,0000331
F,0000337
F,0000338
F,0000344
F,0000345
F,0000355
F,0000359
F,0000360
F,0000361
F,0000381
F,0000385
F,0000392
F,0000405
F,0000421
F,0000422
F,0000427
F,0000429
F,0000437
F,0000458
F,0000462
F,0000488
F,0000492
F,0000498
F,0000507
F,0000516
F,0000517
F,0000523
F,0000525
F,0000534
F,0000538
F,0000539
F,0000540
F,0000557
F,0000569
F,0000576
F,0000582
F,0000584
F,0000588
F,0000590
F,0000592
F,0000606
F,0000614
F,0000628
F,0000635
F,0000640
F,0000650
F,0000697
F,0000703
F,0000704
F,0000708
F,0000716
F,0000725
F,0000730
F,0000732
F,0000734
F,0000740
F,0000742
F,0000752
F,0000755
F,0000764
F,0000769
F,0000783
F,0000788
F,0000794
F,0000797
F,0000819
F,0000825
F,0000833
F,0000845
F,0000846
F,0000851
F,0000863
F,0000864
F,0000868
F,0000872
F,0000882
F,0000894
F,0000898
F,0000918
F,0000922
F,0000923
F,0000926
F,0000938
F,0000942
F,0000946
F,0000955
F,0000957
F,0000959
F,0000961
F,0000991
F,0001002
F,0001015
F,0001020
F,0001027
F,0001037
F,0001039
F,0001053
F,0001056
F,0001063
F,0001072
F,0001074
F,0001080
F,0001103
F,0001105
F,0001110
F,0001111
F,0001121
F,0001122
F,0001132
F,0001139
F,0001141
F,0001148
F,0001156
F,0001165
F,0001173
F,0001174
F,0001177
F,0001180
F,0001184
F,0001196
F,0001197
F,0001198
F,0001203
F,0001223
F,0001226
F,0001227
F,0001237
F,0001253
F,0001256
F,0001261
F,0001276
F,0001289
F,0001292
F,0001313
F,0001326
F,0001329
F,0001339
F,0001340
F,0001347
F,0001348
F,0001352
F,0001364
F,0001366
F,0001369
F,0001371
F,0001376
F,0001377
F,0001387
F,0001391
F,0001395
F,0001398
F,0001400
F,0001405
F,0001413
F,0001422
F,0001425
F,0001427
F,0001437
F,0001450
F,0001458
F,0001460
F,0001466
F,0001469
F,0001471
F,0001473
F,0001486
F,0001497
F,0001498
F,0001514
F,0001517
F,0001543
F,0001548
F,0001552
F,0001559
F,0001563
F,0001564
F,0001585
F,0001592
F,0001594
F,0001597
F,0001599
F,0001602
F,0001605
F,0001614
F,0001621
F,0001625
F,0001664
F,0001668
F,0001680
F,0001682
F,0001689
F,0001693
F,0001695
F,0001698
F,0001715
F,0001717
F,0001721
F,0001722
F,0001728
F,0001735
F,0001741
F,0001745
F,0001754
F,0001764
F,0001771
F,0001772
F,0001779
F,0001780
F,0001794
F,0001798
F,0001804
F,0001805
F,0001808
F,0001814
F,0001817
F,0001819
F,0001821
F,0001840
F,0001841
F,0001849
F,0001857
F,0001866
F,0001868
F,0001879
F,0001883
F,0001885
F,0001891
F,0001905
F,0001915
F,0001939
F,0001940
F,0001943
F,0001944
F,0001983
F,0002000
F,0002002
F,0002006
F,0002007
F,0002015
F,0002017
F,0002027
F,0002030
F,0002039
F,0002041
F,0002042
F,0002050
F,0002052
F,0002061
F,0002079
F,0002088
F,0002105
F,0002106
F,0002113
F,0002119
F,0002134
F,0002142
F,0002150
F,0002162
F,0002164
F,0002171
F,0002175
F,0002179
F,0002184
F,0002198
F,0002202
F,0002205
F,0002208
F,0002216
F,0002235
F,0002243
F,0002250
F,0002255
F,0002265
F,0002266
F,0002268
F,0002270
F,0002278
F,0002288
F,0002290
F,0002293
F,0002297
F,0002298
F,0002315
F,0002316
F,0002317
F,0002324
F,0002326
F,0002328
F,0002331
F,0002345
F,0002354
F,0002361
F,0002363
F,0002367
F,0002370
F,0002378
F,0002382
F,0002386
F,0002391
F,0002399
F,0002401
F,0002406
F,0002407
F,0002414
F,0002424
F,0002437
F,0002438
F,0002443
F,0002444
F,0002449
F,0002462
F,0002467
F,0002484
F,0002491
F,0002496
F,0002497
F,0002498
F,0002499
F,0002500
F,0002509
F,0002511
F,0002513
F,0002517
F,0002529
F,0002532
F,0002534
F,0002536
F,0002540
F,0002543
F,0002548
F,0002555
F,0002565
F,0002570
F,0002571
F,0002591
F,0002592
F,0002598
F,0002605
F,0002616
F,0002621
F,0002622
F,0002626
F,0002636
F,0002647
F,0002649
F,0002656
F,0002672
F,0002680
F,0002681
F,0002692
F,0002703
F,0002708
F,0002710
F,0002712
F,0002714
F,0002719
F,0002721
F,0002730
F,0002732
F,0002737
F,0002739
F,0002749
F,0002751
F,0002756
F,0002757
F,0002765
F,0002774
F,0002781
F,0002792
F,0002794
F,0002796
F,0002818
F,0002831
F,0002833
F,0002835
F,0002840
F,0002845
F,0002850
F,0002854
F,0002870
F,0002874
F,0002875
F,0002877
F,0002884
F,0002893
F,0002898
F,0002902
F,0002911
F,0002925
F,0002936
F,0002937
F,0002942
F,0002945
F,0002958
F,0002964
F,0002966
F,0002974
F,0002977
F,0002980
F,0002988
F,0002989
F,0003003
F,0003015
F,0003022
F,0003023
F,0003025
F,0003052
F,0003088
F,0003092
F,0003096
F,0003100
F,0003104
F,0003131
F,0003132
F,0003135
F,0003139
F,0003142
F,0003157
F,0003158
F,0003163
F,0003175
F,0003179
F,0003191
F,0003193
F,0003213
F,0003219
F,0003220
F,0003223
F,0003231
F,0003235
F,0003240
F,0003247
F,0003252
F,0003261
F,0003264
F,0003268
F,0003272
F,0003284
F,0003301
F,0003304
F,0003317
F,0003322
F,0003324
F,0003329
F,0003330
F,0003335
F,0003345
F,0003355
F,0003358
F,0003361
F,0003384
F,0003385
F,0003392
F,0003400
F,0003402
F,0003407
F,0003408
F,0003417
F,0003430
F,0003440
F,0003446
F,0003449
F,0003451
F,0003474
F,0003483
F,0003487
F,0003498
F,0003506
F,0003538
F,0003550
F,0003555
F,0003558
F,0003560
F,0003565
F,0003571
F,0003574
F,0003577
F,0003578
F,0003590
F,0003599
F,0003609
F,0003610
F,0003625
F,0003630
F,0003633
F,0003643
F,0003654
F,0003660
F,0003675
F,0003697
F,0003700
F,0003701
F,0003702
F,0003703
F,0003708
F,0003714
F,0003717
F,0003720
F,0003727
F,0003731
F,0003732
F,0003734
F,0003737
F,0003739
F,0003746
F,0003754
F,0003755
F,0003761
F,0003770
F,0003771
F,0003773
F,0003784
F,0003786
F,0003812
F,0003817
F,0003823
F,0003826
F,0003831
F,0003834
F,0003841
F,0003853
F,0003859
F,0003860
F,0003861
F,0003870
F,0003871
F,0003880
F,0003886
F,0003890
F,0003910
F,0003922
F,0003925
F,0003926
F,0003940
F,0003949
F,0003954
F,0003961
F,0003967
F,0003968
F,0003984
F,0003990
F,0003996
F,0004007
F,0004008
F,0004031
F,0004035
F,0004036
F,0004040
F,0004043
F,0004049
F,0004063
F,0004088
F,0004100
F,0004103
F,0004113
F,0004115
F,0004121
F,0004124
F,0004131
F,0004134
F,0004156
F,0004157
F,0004172
F,0004175
F,0004184
F,0004185
F,0004195
F,0004201
F,0004205
F,0004229
F,0004231
F,0004246
F,0004257
F,0004258
F,0004270
F,0004278
F,0004286
F,0004303
F,0004308
F,0004310
F,0004316
F,0004320
F,0004332
F,0004354
F,0004355
F,0004372
F,0004382
F,0004387
F,0004396
F,0004402
F,0004422
F,0004424
F,0004425
F,0004432
F,0004445
F,0004450
F,0004452
F,0004453
F,0004458
F,0004466
F,0004470
F,0004476
F,0004479
F,0004480
F,0004492
F,0004494
F,0004500
F,0004503
F,0004509
F,0004511
F,0004518
F,0004526
F,0004546
F,0004548
F,0004559
F,0004566
F,0004572
F,0004585
F,0004594
F,0004602
F,0004608
F,0004610
F,0004616
F,0004618
F,0004626
F,0004632
F,0004633
F,0004634
F,0004636
F,0004641
F,0004642
F,0004656
F,0004672
F,0004681
F,0004695
F,0004698
F,0004706
F,0004715
F,0004724
F,0004730
F,0004732
F,0004741
F,0004754
F,0004755
F,0004756
F,0004757
F,0004763
F,0004768
F,0004773
F,0004790
F,0004792
F,0004802
F,0004804
F,0004807
F,0004811
F,0004814
F,0004866
F,0004868
F,0004871
F,0004872
F,0004886
F,0004889
F,0004895
F,0004902
F,0004903
F,0004911
F,0004939
F,0004951
F,0004958
F,0004968
F,0004972
F,0004987
F,0004993
F,0004994
F,0004995
F,0005021
F,0005028
F,0005035
F,0005046
F,0005049
F,0005051
F,0005052
F,0005057
F,0005069
F,0005072
F,0005075
F,0005087
F,0005088
F,0005095
F,0005099
F,0005103
F,0005107
F,0005125
F,0005126
F,0005130
F,0005136
F,0005137
F,0005139
F,0005140
F,0005154
F,0005157
F,0005168
F,0005171
F,0005176
F,0005181
F,0005195
F,0005220
F,0005221
F,0005225
F,0005238
F,0005253
F,0005258
F,0005275
F,0005276
F,0005278
F,0005280
F,0005286
F,0005306
F,0005312
F,0005313
F,0005327
F,0005332
F,0005334
F,0005338
F,0005342
F,0005347
F,0005349
F,0005355
F,0005362
F,0005370
F,0005372
F,0005382
F,0005389
F,0005392
F,0005413
F,0005427
F,0005431
F,0005436
F,0005440
F,0005443
F,0005450
F,0005451
F,0005457
F,0005465
F,0005474
F,0005475
F,0005481
F,0005485
F,0005488
F,0005497
F,0005498
F,0005510
F,0005513
F,0005530
F,0005551
F,0005553
F,0005565
F,0005566
F,0005567
F,0005579
F,0005585
F,0005597
F,0005606
F,0005614
F,0005619
F,0005621
F,0005624
F,0005626
F,0005633
F,0005640
F,0005644
F,0005645
F,0005649
F,0005654
F,0005655
F,0005664
F,0005665
F,0005669
F,0005675
F,0005693
F,0005702
F,0005705
F,0005717
F,0005721
F,0005727
F,0005740
F,0005744
F,0005762
F,0005765
F,0005772
F,0005777
F,0005786
F,0005792
F,0005793
F,0005801
F,0005806
F,0005808
F,0005811
F,0005822
F,0005823
F,0005831
F,0005832
F,0005838
F,0005841
F,0005853
F,0005855
F,0005856
F,0005858
F,0005860
F,0005870
F,0005871
F,0005877
F,0005885
F,0005891
F,0005898
F,0005901
F,0005909
F,0005916
F,0005918
F,0005922
F,0005923
F,0005924
F,0005925
F,0005935
F,0005945
F,0005950
F,0005952
F,0005979
F,0006020
F,0006030
F,0006033
F,0006040
F,0006041
F,0006044
F,0006045
F,0006046
F,0006048
F,0006050
F,0006053
F,0006067
F,0006088
F,0006098
F,0006112
F,0006123
F,0006125
F,0006131
F,0006135
F,0006146
F,0006153
F,0006154
F,0006161
F,0006174
F,0006178
F,0006200
F,0006204
F,0006208
F,0006210
F,0006216
