CD_ANNEE,CD_SEMESTRE,CD_TRIMESTRE,CD_QUADRIMESTRE,CD_MOIS,Somme de CD_ANNEE,CD_ANNEE_MOIS,CD_MOIS,CD_QUADRIMESTRE,CD_SEMESTRE,CD_TRIMESTRE,Année,Trimestre,Mois,Jour,Année,Mois,LB_MOIS_COURT,LB_MOIS_LONG,Somme de NO_ANNEE,Somme de NO_MOIS,Somme de NO_QUADRIMETSRE,Somme de NO_SEMESTRE,Somme de NO_TRIMESTRE
2026,S1,T1,Q1,01,2026,202601,01,Q1,S1,T1,,,,,2026,Jan,Jan,Janvier,2026,1,1,1,1
2026,S1,T1,Q1,02,2026,202602,02,Q1,S1,T1,,,,,2026,Fév,Fév,Février,2026,2,1,1,1
2026,S1,T1,Q1,03,2026,202603,03,Q1,S1,T1,,,,,2026,Mar,Mar,Mars,2026,3,1,1,1
2026,S1,T2,Q1,04,2026,202604,04,Q1,S1,T2,,,,,2026,Avr,Avr,Avril,2026,4,1,1,2
2026,S1,T2,Q2,05,2026,202605,05,Q2,S1,T2,,,,,2026,Mai,Mai,Mai,2026,5,2,1,2
2026,S1,T2,Q2,06,2026,202606,06,Q2,S1,T2,,,,,2026,Juin,Juin,Juin,2026,6,2,1,2
2026,S2,T3,Q2,07,2026,202607,07,Q2,S2,T3,,,,,2026,Juil,Juil,Juillet,2026,7,2,2,3
2026,S2,T3,Q2,08,2026,202608,08,Q2,S2,T3,,,,,2026,Août,Août,Août,2026,8,2,2,3
2026,S2,T3,Q3,09,2026,202609,09,Q3,S2,T3,,,,,2026,Sept,Sept,Septembre,2026,9,3,2,3
2026,S2,T4,Q3,10,2026,202610,10,Q3,S2,T4,,,,,2026,Oct,Oct,Octobre,2026,10,3,2,4
2026,S2,T4,Q3,11,2026,202611,11,Q3,S2,T4,,,,,2026,Nov,Nov,Novembre,2026,11,3,2,4
2026,S2,T4,Q3,12,2026,202612,12,Q3,S2,T4,,,,,2026,Déc,Déc,Décembre,2026,12,3,2,4
2025,S1,T1,Q1,01,2025,202501,01,Q1,S1,T1,,,,,2025,Jan,Jan,Janvier,2025,1,1,1,1
2025,S1,T1,Q1,02,2025,202502,02,Q1,S1,T1,,,,,2025,Fév,Fév,Février,2025,2,1,1,1
2025,S1,T1,Q1,03,2025,202503,03,Q1,S1,T1,,,,,2025,Mar,Mar,Mars,2025,3,1,1,1
2025,S1,T2,Q1,04,2025,202504,04,Q1,S1,T2,,,,,2025,Avr,Avr,Avril,2025,4,1,1,2
2025,S1,T2,Q2,05,2025,202505,05,Q2,S1,T2,,,,,2025,Mai,Mai,Mai,2025,5,2,1,2
2025,S1,T2,Q2,06,2025,202506,06,Q2,S1,T2,,,,,2025,Juin,Juin,Juin,2025,6,2,1,2
2025,S2,T3,Q2,07,2025,202507,07,Q2,S2,T3,,,,,2025,Juil,Juil,Juillet,2025,7,2,2,3
2025,S2,T3,Q2,08,2025,202508,08,Q2,S2,T3,,,,,2025,Août,Août,Août,2025,8,2,2,3
2025,S2,T3,Q3,09,2025,202509,09,Q3,S2,T3,,,,,2025,Sept,Sept,Septembre,2025,9,3,2,3
2025,S2,T4,Q3,10,2025,202510,10,Q3,S2,T4,,,,,2025,Oct,Oct,Octobre,2025,10,3,2,4
2025,S2,T4,Q3,11,2025,202511,11,Q3,S2,T4,,,,,2025,Nov,Nov,Novembre,2025,11,3,2,4
2025,S2,T4,Q3,12,2025,202512,12,Q3,S2,T4,,,,,2025,Déc,Déc,Décembre,2025,12,3,2,4
2024,S1,T1,Q1,01,2024,202401,01,Q1,S1,T1,,,,,2024,Jan,Jan,Janvier,2024,1,1,1,1
2024,S1,T1,Q1,02,2024,202402,02,Q1,S1,T1,,,,,2024,Fév,Fév,Février,2024,2,1,1,1
2024,S1,T1,Q1,03,2024,202403,03,Q1,S1,T1,,,,,2024,Mar,Mar,Mars,2024,3,1,1,1
2024,S1,T2,Q1,04,2024,202404,04,Q1,S1,T2,,,,,2024,Avr,Avr,Avril,2024,4,1,1,2
2024,S1,T2,Q2,05,2024,202405,05,Q2,S1,T2,,,,,2024,Mai,Mai,Mai,2024,5,2,1,2
2024,S1,T2,Q2,06,2024,202406,06,Q2,S1,T2,,,,,2024,Juin,Juin,Juin,2024,6,2,1,2
