CD_CAT_PRO,CD_CAT_QUALIF,CD_CAT_QUALIF_2,CD_CAT_SS_QUALIF,CD_CATEGO,CD_GRADE,CD_GRADE_SAE,CD_GROUPE_SAE,Somme de CD_LIGNE_SAE_Q23,Somme de CD_LIGNE_SAE_Q24,CD_QUALIF,CD_QUALIF_TENSION,CD_SC,Année,Trimestre,Mois,Jour,Année,Trimestre,Mois,Jour,FL_ACTIF_FAG,FL_ACTIF_FNG,LB_CAT_PRO,LB_CAT_QUALIF,LB_CAT_QUALIF_2,LB_CAT_SS_QUALIF,LB_CATEGO,LB_GRADE,LB_GRADE_L,LB_GRADE_SAE,LB_GROUPE_SAE,LB_LIGNE_SAE_Q23,LB_LIGNE_SAE_Q24,LB_QUALIF,LB_QUALIF_GRP,LB_QUALIF_GRP,LB_QUALIF,LB_QUALIF_L,LB_SC,LB_TYPE_PERSONNEL,Somme de NB_MATRIC_FAG,Somme de NB_MATRIC_FNG
,,PH,,B,4145,,,,,32166201,N,,2025,Qtr 4,octobre,6,2025,Qtr 2,avril,7,O,O,,,Personnel Hospitalier,,CATEGORIE B,ERGO 2E GRD,ERGOTHERAPEUTE 2E GRADE,,,,,ERGOTHERAPEUTE,REEDUCATION HORS CADRES,REEDUCATION HORS CADRES,ERGOTHERAPEUTE,ERGOTHERAPEUTE,,Personnel non médical,1,1
,,PH,,B,4147,,,,,32169201,N,,2025,Qtr 4,octobre,6,2025,Qtr 2,avril,7,O,O,,,Personnel Hospitalier,,CATEGORIE B,PSYCHOMOT 2E GRD,PSYCHOMOTRICIEN 2E GRADE,,,,,PSYCHOMOTRICIEN,REEDUCATION HORS CADRES,REEDUCATION HORS CADRES,PSYCHOMOTRICIEN,PSYCHOMOTRICIEN,,Personnel non médical,1,1
ING,PTO,PT,Z,A,1862,5110,5100,46,19,62210101,N,70,,,,,2024,Qtr 1,février,15,N,O,PTO INGENIEUR,PERSONNEL TECHNIQUE ET OUVRIER,Personnel Technique,MANQUANT,CATEGORIE A,INGENIEUR GENERAL,INGENIEUR GENERAL,Ingénieurs,Personnels techniques et ouvriers,Personnels techniques et ouvriers,MANQUANT,INGEN. GENERAL,INGENIEUR TRVX ET TECHNIQUE,INGENIEUR TRVX ET TECHNIQUE,INGEN. GENERAL,INGENIEUR GENERAL,INGENIEUR TRVX ET TECHNIQUE,Personnel non médical,0,23
ING,PTO,PT,Z,A,1866,5110,5100,46,19,62250101,N,70,,,,,2024,Qtr 1,février,15,N,O,PTO INGENIEUR,PERSONNEL TECHNIQUE ET OUVRIER,Personnel Technique,MANQUANT,CATEGORIE A,INGENIEUR HOSPITAL,INGENIEUR HOSPITALIER,Ingénieurs,Personnels techniques et ouvriers,Personnels techniques et ouvriers,MANQUANT,INGENIEUR SUBDIV.,INGENIEUR TRVX ET TECHNIQUE,INGENIEUR TRVX ET TECHNIQUE,INGENIEUR SUBDIV.,INGENIEUR SUBDIVISIONNAIRE,INGENIEUR TRVX ET TECHNIQUE,Personnel non médical,0,13
ING,PTO,PT,Z,A,1868,5110,5100,46,19,62230101,N,70,,,,,2024,Qtr 1,février,15,N,O,PTO INGENIEUR,PERSONNEL TECHNIQUE ET OUVRIER,Personnel Technique,MANQUANT,CATEGORIE A,ING HOSP CH CL NOR,INGENIEUR HOSPITALIER EN CHEF CLASSE NORMALE,Ingénieurs,Personnels techniques et ouvriers,Personnels techniques et ouvriers,MANQUANT,INGENIEUR EN CHEF,INGENIEUR TRVX ET TECHNIQUE,INGENIEUR TRVX ET TECHNIQUE,INGENIEUR EN CHEF,INGENIEUR EN CHEF,INGENIEUR TRVX ET TECHNIQUE,Personnel non médical,0,132
ING,PTO,PT,Z,A,1869,5110,5100,46,19,62230100,N,70,,,,,2024,Qtr 1,février,15,N,O,PTO INGENIEUR,PERSONNEL TECHNIQUE ET OUVRIER,Personnel Technique,MANQUANT,CATEGORIE A,ING HOSP CH CL EXC,INGENIEUR HOSPITALIER EN CHEF CLASSE EXCEP.,Ingénieurs,Personnels techniques et ouvriers,Personnels techniques et ouvriers,MANQUANT,ING HOS CHEF CL EX,INGENIEUR TRVX ET TECHNIQUE,INGENIEUR TRVX ET TECHNIQUE,ING HOS CHEF CL EX,INGENIEUR HOSPITALIER CHEF CL EXECPT,INGENIEUR TRVX ET TECHNIQUE,Personnel non médical,0,79
ING,PTO,PT,Z,A,1870,5110,5100,46,19,62250101,N,70,,,,,2024,Qtr 1,février,15,N,O,PTO INGENIEUR,PERSONNEL TECHNIQUE ET OUVRIER,Personnel Technique,MANQUANT,CATEGORIE A,INGENIEUR HOSPITAL,INGENIEUR HOSPITALIER,Ingénieurs,Personnels techniques et ouvriers,Personnels techniques et ouvriers,MANQUANT,INGENIEUR SUBDIV.,INGENIEUR TRVX ET TECHNIQUE,INGENIEUR TRVX ET TECHNIQUE,INGENIEUR SUBDIV.,INGENIEUR SUBDIVISIONNAIRE,INGENIEUR TRVX ET TECHNIQUE,Personnel non médical,0,370
ING,PTO,PT,Z,A,1871,5110,5100,46,19,62240101,N,70,,,,,2024,Qtr 1,février,15,N,O,PTO INGENIEUR,PERSONNEL TECHNIQUE ET OUVRIER,Personnel Technique,MANQUANT,CATEGORIE A,INGENIEUR HOS PPAL,INGENIEUR HOSPITALIER PRINCIPAL,Ingénieurs,Personnels techniques et ouvriers,Personnels techniques et ouvriers,MANQUANT,INGENIEUR PRINCIP,INGENIEUR TRVX ET TECHNIQUE,INGENIEUR TRVX ET TECHNIQUE,INGENIEUR PRINCIP,INGENIEUR PRINCIPAL,INGENIEUR TRVX ET TECHNIQUE,Personnel non médical,0,280
ING,PTO,PT,Z,A,1872,5110,5100,46,19,62250101,N,70,,,,,2024,Qtr 2,mai,6,O,O,PTO INGENIEUR,PERSONNEL TECHNIQUE ET OUVRIER,Personnel Technique,MANQUANT,CATEGORIE A,INGENIEUR,INGENIEUR,Ingénieurs,Personnels techniques et ouvriers,Personnels techniques et ouvriers,MANQUANT,INGENIEUR SUBDIV.,INGENIEUR TRVX ET TECHNIQUE,INGENIEUR TRVX ET TECHNIQUE,INGENIEUR SUBDIV.,INGENIEUR SUBDIVISIONNAIRE,INGENIEUR TRVX ET TECHNIQUE,Personnel non médical,208,236
ING,PTO,PT,Z,A,1873,5110,5100,46,19,62240101,N,70,,,,,2024,Qtr 2,mai,6,O,O,PTO INGENIEUR,PERSONNEL TECHNIQUE ET OUVRIER,Personnel Technique,MANQUANT,CATEGORIE A,INGENIEUR PPAL,INGENIEUR PRINCIPAL,Ingénieurs,Personnels techniques et ouvriers,Personnels techniques et ouvriers,MANQUANT,INGENIEUR PRINCIP,INGENIEUR TRVX ET TECHNIQUE,INGENIEUR TRVX ET TECHNIQUE,INGENIEUR PRINCIP,INGENIEUR PRINCIPAL,INGENIEUR TRVX ET TECHNIQUE,Personnel non médical,169,184
