CD_METIER,CD_METIER_FAMILLE,Somme de CD_METIER_NB_CAR,CD_METIER_SS_FAMILLE,CD_METIER_TENSION,Année,Trimestre,Mois,Jour,LB_METIER,LB_METIER_FAMILLE,LB_METIER_SS_FAMILLE,Somme de NB_MATRIC
05C100,05,6,05C,O,2024,Qtr 4,novembre,6,Infirmier en soins généraux,Soins,Soins infirmiers,37525
05C101,05,6,05C,O,2024,Qtr 4,novembre,6,Infirmier en santé mentale,Soins,Soins infirmiers,817
05C103,05,6,05C,O,2024,Qtr 4,novembre,6,Infirmier en réanimation,Soins,Soins infirmiers,4070
05C104,05,6,05C,O,2024,Qtr 4,novembre,6,Infirmier en santé au travail,Soins,Soins infirmiers,60
05C105,05,6,05C,O,2024,Qtr 4,novembre,6,Infirmier aux urgences,Soins,Soins infirmiers,1411
05C200,05,6,05C,O,2024,Qtr 4,novembre,6,Infirmier de bloc opératoire,Soins,Soins infirmiers,1838
05C300,05,6,05C,N,2024,Qtr 4,novembre,6,Infirmier en anesthésie réanimation,Soins,Soins infirmiers,1471
05C400,05,6,05C,O,2024,Qtr 4,novembre,6,Infirmière puéricultrice,Soins,Soins infirmiers,1611
05C500,05,6,05C,O,2024,Qtr 4,novembre,6,Infirmier perfusionniste,Soins,Soins infirmiers,73
05CAA0,05,6,05C,N,2024,Qtr 4,novembre,6,Infirmier en pratique avancée,Soins,Soins infirmiers,19
05CAA1,05,6,05C,N,2024,Qtr 4,novembre,6,Infirmier prat avancée Path chroniq,Soins,Soins infirmiers,61
05CAA2,05,6,05C,N,2024,Qtr 4,novembre,6,Infirmier prat avancée Oncologie,Soins,Soins infirmiers,20
05CAA3,05,6,05C,N,2024,Qtr 4,novembre,6,Infirmier prat avancée Malad rénale,Soins,Soins infirmiers,9
05CAA4,05,6,05C,N,2024,Qtr 4,novembre,6,Infirmier prat avancée Santé mental,Soins,Soins infirmiers,9
05F100,05,6,05F,O,2024,Qtr 4,novembre,6,Sage femme,Soins,Sage femme,1
05I100,05,6,05I,N,2024,Qtr 4,novembre,6,Diététicien,Soins,Soins de rééducation,862
05I200,05,6,05I,N,2024,Qtr 4,novembre,6,Orthophoniste,Soins,Soins de rééducation,450
05I300,05,6,05I,N,2024,Qtr 4,novembre,6,Masseur kinésithérapeute,Soins,Soins de rééducation,2066
05I400,05,6,05I,N,2024,Qtr 4,novembre,6,Orthoptiste,Soins,Soins de rééducation,277
05I500,05,6,05I,N,2024,Qtr 4,novembre,6,Pédicure podologue,Soins,Soins de rééducation,54
05I600,05,6,05I,N,2024,Qtr 4,novembre,6,Ergothérapeute,Soins,Soins de rééducation,556
05I700,05,6,05I,N,2024,Qtr 4,novembre,6,Psychomotricien,Soins,Soins de rééducation,370
05L100,05,6,05L,N,2024,Qtr 4,novembre,6,Technicien de laboratoire médical,Soins,Soins médico-techniques,4848
05L200,05,6,05L,O,2024,Qtr 4,novembre,6,Préparateur pharmacie hospitalière,Soins,Soins médico-techniques,1747
05L300,05,6,05L,O,2024,Qtr 4,novembre,6,Manipulateur radiologie médicale,Soins,Soins médico-techniques,2494
05L302,05,6,05L,O,2024,Qtr 4,novembre,6,Manip Spécialiste radioprotection,Soins,Soins médico-techniques,48
05L400,05,6,05L,N,2024,Qtr 4,novembre,6,Physicien médical,Soins,Soins médico-techniques,94
05L402,05,6,05L,O,2024,Qtr 4,novembre,6,Physicien médical radioprotection,Soins,Soins médico-techniques,13
05L600,05,6,05L,O,2024,Qtr 4,novembre,6,Dosimétriste,Soins,Soins médico-techniques,22
05L700,05,6,05L,N,2024,Qtr 4,novembre,6,Ingénieur en biologie médicale,Soins,Soins médico-techniques,148
05L800,05,6,05L,N,2024,Qtr 4,novembre,6,Bio informaticien,Soins,Soins médico-techniques,70
05LAA0,05,6,05L,N,2024,Qtr 4,novembre,6,Agent en secteur médico-technique,Soins,Soins médico-techniques,1778
05LAB0,05,6,05L,N,2024,Qtr 4,novembre,6,Technicien production produit santé,Soins,Soins médico-techniques,51
05LAC0,05,6,05L,N,2024,Qtr 4,novembre,6,Technicien expérimentation animale,Soins,Soins médico-techniques,6
05LAD0,05,6,05L,O,2024,Qtr 4,novembre,6,Technicien du sommeil EEG,Soins,Soins médico-techniques,13
05M200,05,6,05M,N,2024,Qtr 4,novembre,6,Conseiller en génétique,Soins,Conseil aux personnes,70
05M600,05,6,05M,N,2024,Qtr 4,novembre,6,Conseiller conjugal,Soins,Conseil aux personnes,21
05R100,05,6,05R,N,2024,Qtr 4,novembre,6,Aide-soignant,Soins,Assistance aux soins,33131
05R101,05,6,05R,N,2024,Qtr 4,novembre,6,Aide-soignant en santé mentale,Soins,Assistance aux soins,595
05R102,05,6,05R,N,2024,Qtr 4,novembre,6,Assistant de soins en gérontologie,Soins,Assistance aux soins,59
05R103,05,6,05R,N,2024,Qtr 4,novembre,6,Aide-soignant en polyhandicap,Soins,Assistance aux soins,596
05R200,05,6,05R,N,2024,Qtr 4,novembre,6,Socio-esthéticien,Soins,Assistance aux soins,24
05R300,05,6,05R,N,2024,Qtr 4,novembre,6,Brancardier,Soins,Assistance aux soins,2166
