CD_MOD_SRV,COMMENTAIRES,Année,Trimestre,Mois,Jour,LB_MOD_SRV
00,,2024,Qtr 1,février,26,PLEIN TEMPS
50,,2024,Qtr 1,février,26,TPS PARTIEL 50%
60,,2024,Qtr 1,février,26,TEMPS PARTIEL 60%
70,,2024,Qtr 1,février,26,TEMPS PARTIEL 70%
75,,2024,Qtr 1,février,26,TEMPS PARTIEL 75%
80,,2024,Qtr 1,février,26,TPS P. 80% REM 6/7
81,,2024,Qtr 1,février,26,TPS P. 80% REM 80%
90,,2024,Qtr 1,février,26,TPS P.90% RE 32/35
91,,2024,Qtr 1,février,26,TPS P.90% REM 90%
A5,,2024,Qtr 1,février,26,LB MANQUANT A5
A7,,2024,Qtr 1,février,26,LB MANQUANT A7
A8,,2024,Qtr 1,février,26,TP 80% DRT ADOPT
C5,,2024,Qtr 1,février,26,LB MANQUANT C5
C8,,2025,Qtr 1,mars,24,LB MANQUANT C8
CB,VACATAIRES,2024,Qtr 1,février,26,CONTRA HOR < 50%
CH,VACATAIRES,2024,Qtr 1,février,26,CONTRA HOR > =50%
D5,,2024,Qtr 1,février,26,TPS P. DROIT 50%
D6,,2024,Qtr 1,février,26,TPS P. DROIT 60%
D7,,2024,Qtr 1,février,26,TPS P. DROIT 70%
D8,,2024,Qtr 1,février,26,TP. DT 80% RE 80%
DA,,2024,Qtr 1,février,26,TP. DT 80% RE 6/7
I6,,2024,Qtr 1,février,26,LB MANQUANT
I7,,2024,Qtr 1,février,26,LB MANQUANT
I8,,2024,Qtr 1,février,26,TP 80% AG INC>=80%
M5,,2024,Qtr 1,février,26,TPS P. THERAP 50%
M6,,2024,Qtr 1,février,26,TPS P. THERAP 60%
M7,,2024,Qtr 1,février,26,TPS P. THERAP 70%
M8,,2024,Qtr 1,février,26,TPS P. THERAP 80%
M9,,2024,Qtr 1,février,26,TPS P. THERAP 90%
MA,,2024,Qtr 1,février,26,TPS P. THERAP 75%
N5,,2024,Qtr 1,février,26,TP 50% DRT NAISS
N6,,2024,Qtr 1,février,26,TP 60% DRT NAISS
N7,,2024,Qtr 1,février,26,TP 70% DRT NAISS
N8,,2024,Qtr 1,février,26,TP 80% DRT NAISS
PT,,2024,Qtr 4,octobre,14,TPS TRA TP 100%
R1,,2024,Qtr 1,février,26,ACTI REDUITE10%
R2,,2024,Qtr 1,février,26,ACTI REDUITE 20%
R3,,2024,Qtr 1,février,26,ACTI REDUITE 30%
R4,,2024,Qtr 1,février,26,ACTI REDUITE 40%
R5,,2024,Qtr 1,février,26,ACTI REDUITE 50%
R6,,2024,Qtr 1,février,26,ACTI REDUITE 60%
R7,,2024,Qtr 1,février,26,ACTI REDUITE 70%
R8,,2024,Qtr 1,février,26,ACTI REDUITE 80%
R9,,2024,Qtr 1,février,26,ACTI REDUITE 90%
S5,,2024,Qtr 1,février,26,TP 50% DRT SOINS
S6,,2024,Qtr 1,février,26,TP 60% DRT SOINS
S7,,2024,Qtr 1,février,26,TP 70% DRT SOINS
S8,,2024,Qtr 1,février,26,TP 80% DRT SOINS
T5,,2024,Qtr 1,février,26,TP.THERAPEU.50%
T6,,2024,Qtr 1,février,26,TP.THERAPEU.60%
T7,,2024,Qtr 1,février,26,TP.THERAPEU.70%
T8,,2024,Qtr 1,février,26,TP.THERAPEU.80%
TI,,2024,Qtr 1,février,26,TPS N CPLT
ZZ,,2025,Qtr 1,février,5,MANQUANT
