CD_QUALIF,CD_QUALIF_TENSION,Année,Trimestre,Mois,Jour,LB_QUALIF,LB_QUALIF_GRP,LB_QUALIF_L,Somme de NB_MATRIC,REMARQUES
11010001,N,2023,Qtr 3,septembre,29,DIRECTEUR GENERAL,DIRECTEUR,DIRECTEUR GENERAL,1,""
11020001,N,2023,Qtr 3,septembre,29,SECRETAIRE GENERAL,DIRECTEUR,SECRETAIRE GENERAL,1,""
11020004,N,2023,Qtr 3,septembre,29,DIRECTEUR GH G1,DIRECTEUR,DH SUR EMPLOI FONCTIONNEL GROUPE 1,4,""
11020005,N,2023,Qtr 3,septembre,29,DIRECTEUR GH G2,DIRECTEUR,DH SUR EMPLOI FONCTIONNEL GROUPE 2,8,""
11020006,N,2023,Qtr 3,septembre,29,DIR ADJ GH,DIRECTEUR,DH SUR EMPLOI FONCTIONNEL GROUPE 3,13,""
11070002,N,2023,Qtr 3,septembre,29,DIRECT HOPITAL,DIRECTEUR,DIRECTEUR D'HOPITAL,317,""
11070004,N,2023,Qtr 3,septembre,29,SOUS DIR VER CENTR,DIRECTEUR,SOUS-DIRECTEUR DES SERVICES CENTRAUX,4,""
11110001,N,2023,Qtr 3,septembre,29,STAG. HAUTE ECOLE,AUTRE PA,STAGIAIRE HAUTES ECOLES,402,""
11110011,N,2023,Qtr 3,septembre,29,D.E.S.S.,DIRECTEUR,DIREC ETAB SANITAIRE ET SOCIAL,5,""
11120012,N,2023,Qtr 3,septembre,29,ATTACHE ADM. HOSP,ATTAC ADM. HOSP ET CHEF DE BUR,ATTACHE D'ADMINISTRATION HOSPITALIERE,218,""
11123001,N,2023,Qtr 3,septembre,29,CHARG.MISS.A1 ADM,CHARGE DE MISSION PA,CHARGE DE MISSION A1 ADMINISTRATIF,70,""
11125001,N,2023,Qtr 3,septembre,29,CHARG.MISS.A2 ADM,CHARGE DE MISSION PA,CHARGE DE MISSION A2 ADMINISTRATIF,75,""
11127001,N,2023,Qtr 3,septembre,29,CHARG.MISS.A3 ADM,CHARGE DE MISSION PA,CHARGE DE MISSION A3 ADMINISTRATIF,178,""
11129001,N,2023,Qtr 3,septembre,29,CHARG.MISS.A4 ADM,CHARGE DE MISSION PA,CHARGE DE MISSION A4 ADMINISTRATIF,170,""
11129301,N,2023,Qtr 3,septembre,29,CHARG.MISS.A5 ADM,CHARGE DE MISSION PA,CHARGE DE MISSION A5 ADMINISTRATIF,260,""
11129501,N,2023,Qtr 3,septembre,29,CHARG.MISS.A6 ADM,CHARGE DE MISSION PA,CHARGE DE MISSION A6 ADMINISTRATIF,107,""
11129701,N,2023,Qtr 3,septembre,29,CHARG.MISS.A7 ADM,CHARGE DE MISSION PA,CHARGE DE MISSION A7 ADMINISTRATIF,3,""
11140001,N,2023,Qtr 3,septembre,29,CONTRACT. CADRES A,AUTRE PA,CONTRACT. CADRES A,1,""
12015001,N,2023,Qtr 3,septembre,29,AGENT CONTR. NIV.B,AUTRE PA,AGENT CONTR. NIV.B,0,""
12040001,N,2023,Qtr 3,septembre,29,ADJ. CADRES HOSP.,ADJOINT CADRES HOSP.,ADJ. DES CAD. HOSP.,377,""
12050011,N,2023,Qtr 3,septembre,29,SECR. MEDICALES,SECR. MEDICALES,SECR. MEDICALES,2831,""
13010002,N,2023,Qtr 3,septembre,29,ADJ. ADM. HOSP.,ADJOINT ADMINISTRATIF HOSP.,ADJ. ADM. HOSP.,452,""
13010004,N,2023,Qtr 3,septembre,29,ADJ ADM HOSP 1CL,ADJOINT ADMINISTRATIF HOSP.,ADJOINT ADMINISTRATIF HOSPITALIER 1CLASSE,1180,""
13080021,N,2023,Qtr 3,septembre,29,PERMANENCIER,AUTRE PA,PERMANENCIER,8,""
13130001,N,2023,Qtr 3,septembre,29,ADJ ADM HOSP 2CL,ADJOINT ADMINISTRATIF HOSP.,ADJOINT ADMINISTRATIF HOSPITALIER 2 CLASSE,2575,""
14050001,N,2023,Qtr 3,septembre,29,AUMONIERS,AUTRE PA,AUMONIERS,80,""
19100001,N,2023,Qtr 3,septembre,29,MEDECINS TRAVAIL,MEDECIN DU TRAVAIL ET CONTROLE,MEDECINS DU TRAVAIL,32,""
19200001,N,2023,Qtr 3,septembre,29,MEDECINS DE CONTR,MEDECIN DU TRAVAIL ET CONTROLE,MEDECINS DE CONTROLE,17,""
22220301,N,2023,Qtr 3,septembre,29,CADRE SUP SOC EDUC,CADRES PSE,CADRE SUPERIEUR SOCIO EDUCATIF,3,""
22230301,N,2023,Qtr 3,septembre,29,CADRE SOCIO EDUCAT,CADRES PSE,CADRE SOCIO EDUCATIF,31,""
22240201,N,2023,Qtr 3,septembre,29,EDUC. JEUNES ENF.,PSE,EDUCATEUR JEUNES ENFANTS,234,""
22240301,O,2023,Qtr 3,septembre,29,ASSIST.SOCIO EDUC,ASE,ASSISTANT SOCIO EDUCATIF,1003,""
22240401,N,2023,Qtr 3,septembre,29,ANIMATEUR,PSE,ANIMATEUR,42,""
22240501,N,2023,Qtr 3,septembre,29,CONS EC SOC ET FAM,PSE,CONSEILLER EN ECONOMIE SOCIALE ET FAMILIALE,27,""
22240602,N,2023,Qtr 3,septembre,29,ELEVE ASS.SOC.,PSE,ELEVE ASSISTANTE SOCIALE,7,""
22240901,N,2023,Qtr 3,septembre,29,MONITEUR D'ATELIER,PSE,MONITEUR D'ATELIER,1,""
22241001,N,2023,Qtr 3,septembre,29,MONITEUR EDUCATEUR,PSE,MONITEUR EDUCATEUR,20,""
32010201,N,2023,Qtr 3,septembre,29,CADRE SUP TECH LAB,CADRE ET CADRE SUP LABO,CADRE SUP TECHNICIEN DE LABORATOIRE,41,""
32020202,N,2023,Qtr 3,septembre,29,CADRE TECH. LABO.,CADRE ET CADRE SUP LABO,CADRE DE SANTE TECHNICIEN DE LABORATOIRE,120,""
32030201,N,2023,Qtr 3,septembre,29,TECHN. LABO,TECHNI LABO ET AIDES,TECHNICIEN DE LABORATOIRE,3228,""
32040201,N,2023,Qtr 3,septembre,29,CADRE SUP IBODE,CADRE ET CADRE SUP DE SPE,CADRE SUPERIEUR DE SANTE IBODE,31,""
32050202,O,2023,Qtr 3,septembre,29,CADRE IBODE,CADRE ET CADRE SUP DE SPE,CADRE DE SANTE IBODE,67,""
32060201,O,2023,Qtr 3,septembre,29,INF. SALLE OP.,IBODE,INF. SALLE OP.,539,""
32070201,N,2023,Qtr 3,septembre,29,CADRE SUP KINE,CADRE ET CADRE SUP DE REEDUC,CADRE SUP DE SANTE MASSEUR KINESITHERAPEUTE,12,""
32080202,N,2023,Qtr 3,septembre,29,CADRE KINE,CADRE ET CADRE SUP DE REEDUC,CADRE DE SANTE MASSEUR KINESITHERAPEUTE,28,""
32090201,N,2023,Qtr 3,septembre,29,MASSEUR KINESITH.,MKDE,MASSEUR KINESITHERAP,1082,""
32090202,N,2023,Qtr 3,septembre,29,ELEVE MASS.KINE,AUTRE PH,ELEVE MASSEUR KINESITHERAPEUTE,548,""
32100201,N,2023,Qtr 3,septembre,29,CADRE SUP MANIP RA,CADRE ET CADRE SUP RADIO,CADRE SUP DE SANTE MANIPULATEUR RADIOLOGIE,29,""
32110202,N,2023,Qtr 3,septembre,29,CADRE MANIP. RADIO,CADRE ET CADRE SUP RADIO,CADRE DE SANTE MANIPULATEUR RADIOLOGIE,75,""
32120201,O,2023,Qtr 3,septembre,29,MANIPULATEURS,MERM,MANIPULATEURS,1722,""
32120202,N,2023,Qtr 3,septembre,29,ELEVE MANIP RADIO,AUTRE PH,ELEVE MANIPULATEUR RADIOLOGIE,630,""
32130201,N,2023,Qtr 3,septembre,29,CADRE SUP ORTHOPTI,CADRE ET CADRE SUP DE REEDUC,CADRE SUP DE SANTE ORTHOPTISTE,1,""
32130212,N,2023,Qtr 3,septembre,29,CADRE ORTHOPTISTE,CADRE ET CADRE SUP DE REEDUC,CADRE DE SANTE ORTHOPTISTE,2,""
32140201,N,2023,Qtr 3,septembre,29,ORTHOPTISTES,REEDUCATION HORS CADRES,ORTHOPTISTES,144,""
32145212,N,2023,Qtr 3,septembre,29,CADRE ORTHOPHON.,CADRE ET CADRE SUP DE REEDUC,CADRE DE SANTE ORTHOPHONISTE,4,""
32150201,N,2023,Qtr 3,septembre,29,ORTHOPHONISTES,REEDUCATION HORS CADRES,ORTHOPHONISTES,281,""
32160201,N,2023,Qtr 3,septembre,29,PSYCHOLOGUE,PSYCHOLOGUE,PSYCHOLOGUE,1162,""
32163101,N,2023,Qtr 3,septembre,29,CADRE PEDICURE,CADRE ET CADRE SUP DE REEDUC,CADRE DE SANTE PEDICURE PODOLOGUE,3,""
32163201,N,2023,Qtr 3,septembre,29,PEDICURE PODOLOGUE,REEDUCATION HORS CADRES,PEDICURE PODOLOGUE,40,""
32165101,N,2023,Qtr 3,septembre,29,CADRE SUP ERGO,CADRE ET CADRE SUP DE REEDUC,CADRE SUP DE SANTE ERGOTHERAPEUTE,3,""
32165202,N,2023,Qtr 3,septembre,29,CADRE ERGOTHER.,CADRE ET CADRE SUP DE REEDUC,CADRE DE SANTE ERGOTHERAPEUTE,3,""
32166201,N,2023,Qtr 3,septembre,29,ERGOTHERAPEUTE,REEDUCATION HORS CADRES,ERGOTHERAPEUTE,316,""
32168101,N,2023,Qtr 3,septembre,29,CADRE SUP PSYCHO.,CADRE ET CADRE SUP DE REEDUC,CADRE SUPERIEUR DE SANTE PSYCHOMOTRICIEN,2,""
