CD_QUALIT,Année,Trimestre,Mois,Jour,LB_GRP_QUALIT,LB_QUALIT
0,2023,Qtr 4,décembre,13,STAGIAIRE FPH,STAGIAIRE FPH (P)
1,2023,Qtr 4,décembre,13,STAGIAIRE FPH,STAGIAIRE FPH (S)
2,2023,Qtr 4,décembre,13,TITULAIRE,TITULAIRE (S)
3,2023,Qtr 4,décembre,13,FONC DIRIG DETACHE,FONC DIRIG DETACHE
4,2023,Qtr 4,décembre,13,CONTRAT AIDE,CONTRAT AIDE
G,2023,Qtr 4,décembre,13,STAGIAIRE UNIVERSITAIRE,STAGIAIRE UNIVER
H,2023,Qtr 4,décembre,13,HORS AP-HP,HORS AP-HP
P,2023,Qtr 4,décembre,13,TITULAIRE,TITULAIRE (P)
Q,2023,Qtr 4,décembre,13,AUTRE STATUT,AUTRE STATUT
R,2023,Qtr 4,décembre,13,CONTRACTUEL PRIVE,CONTRACTUEL PRIVE
S,2023,Qtr 4,décembre,13,CONTRACTUEL PUBLIC,CONTRACTUEL PUBLIC
T,2023,Qtr 4,décembre,13,ETUDIANT,ETUDIANT
Z,2023,Qtr 4,décembre,13,MANQUANT,MANQUANT
