AUTO_NUM,CD_CC9,CD_CRP,CD_DMU,CD_ETA,CD_GHU,CD_SHI,CD_TYPE_ACT,CD_UGC,CD_UGL,Année,Trimestre,Mois,Jour,Année,Trimestre,Mois,Jour,Année,Trimestre,Mois,Jour,Année,Trimestre,Mois,Jour,FL_ACTIF,FL_OF,LB_CC9,LB_CRP,LB_DMU,LB_ETA,LB_GHU,LB_TYPE_ACT,LB_UGC,LB_UGL,SOURCE
1,92212100,H,005,005,NUP,NON,26,3398,0050053398,1999,Qtr 1,janvier,1,2010,Qtr 3,juillet,31,1999,Qtr 1,janvier,1,2025,Qtr 4,octobre,2,N,N,TOXICOLOGIE,CRPP,BIOL/IMAG/PATH/PHARM,HOPITAL BEAUJON,NORD,ANALYSES BIOLOGIQUES,TOXICOLOGIE,TOXICOLOGIE,ldz_structure
2,92212000,H,005,005,NUP,NON,26,3399,0050053399,2008,Qtr 1,janvier,1,2010,Qtr 4,décembre,31,2008,Qtr 1,janvier,1,2025,Qtr 4,octobre,2,N,N,PHARMACOLOGIE TOXICOLOGIE,CRPP,BIOL/IMAG/PATH/PHARM,HOPITAL BEAUJON,NORD,ANALYSES BIOLOGIQUES,PHARMACOLOGIE,PHARMACOLOGIE,ldz_structure
3,92212750,H,101,005,NUP,NON,26,1895,0051011895,2007,Qtr 1,janvier,1,2012,Qtr 1,février,21,2007,Qtr 1,janvier,1,2025,Qtr 4,octobre,2,N,N,GENETIQUE CONSTITUTIONNELLE,CRPP,BIO PHA RE,HOPITAL BEAUJON,NORD,ANALYSES BIOLOGIQUES,GENETIQUE MOLECULAIR,GENETIQUE MOLECULAIR,ldz_structure
4,92000003,H,103,005,NUP,NON,01,1098,0051031098,2012,Qtr 2,mai,24,2016,Qtr 1,janvier,1,2012,Qtr 2,mai,24,2025,Qtr 4,octobre,2,N,N,ADMINISTRATION DU POLE,CRPP,DIGESTIF,HOPITAL BEAUJON,NORD,ADMINISTRATION,CHIR COLO SERGENT B,CHIR COLO SERGENT B,ldz_structure
5,92000003,H,103,005,NUP,NON,01,1099,0051031099,2012,Qtr 2,mai,24,2016,Qtr 1,janvier,1,2012,Qtr 2,mai,24,2025,Qtr 4,octobre,2,N,N,ADMINISTRATION DU POLE,CRPP,DIGESTIF,HOPITAL BEAUJON,NORD,ADMINISTRATION,CHIR-DIG SERGENT B,CHIR-DIG SERGENT B,ldz_structure
6,92302120,H,103,005,NUP,NON,80,4098,0051034098,2012,Qtr 2,mai,24,2012,Qtr 2,mai,24,2012,Qtr 2,mai,24,2025,Qtr 4,octobre,2,N,N,HEPATO-GASTRO-ENTEROLOGIE,CRPP,DIGESTIF,HOPITAL BEAUJON,NORD,HOSPIT COMPL CONVENT,CHIR COLO SERGENT B,CHIR COLO SERGENT B,ldz_structure
7,92302120,H,103,005,NUP,NON,80,4099,0051034099,2012,Qtr 2,mai,24,2012,Qtr 2,mai,24,2012,Qtr 2,mai,24,2025,Qtr 4,octobre,2,N,N,HEPATO-GASTRO-ENTEROLOGIE,CRPP,DIGESTIF,HOPITAL BEAUJON,NORD,HOSPIT COMPL CONVENT,CHIR-DIG SERGENT B,CHIR-DIG SERGENT B,ldz_structure
8,92302170,H,104,005,NUP,NON,80,3091,0051043091,1996,Qtr 2,juin,1,2015,Qtr 2,avril,3,1996,Qtr 2,juin,1,2025,Qtr 4,octobre,2,O,N,CARDIOLOGIE,CRPP,COEUR VAISSEAUX,HOPITAL BEAUJON,NORD,HOSPIT COMPL CONVENT,CARDIOLOGIE HOSP.,CARDIOLOGIE HOSP.,ldz_structure
9,92280500,H,105,005,NUP,NON,09,1442,0051051442,2002,Qtr 1,janvier,1,2019,Qtr 1,mars,1,2002,Qtr 1,janvier,1,2025,Qtr 4,octobre,2,N,N,EF EN ORL,CRPP,THORAX VAISSEAUX ORL,HOPITAL BEAUJON,NORD,AUTRES MEDICO-TECHNI,EF ORL,EF ORL,ldz_structure
10,92319640,H,105,005,NUP,NON,07,1495,0051051495,1999,Qtr 1,janvier,1,2019,Qtr 4,décembre,31,1999,Qtr 1,janvier,1,2025,Qtr 4,octobre,2,O,N,ORL ADULTE,CRPP,THORAX VAISSEAUX ORL,HOPITAL BEAUJON,NORD,CONSULTATIONS,CONSULT ORL,CONSULT ORL,ldz_structure
11,92280200,H,105,005,NUP,NON,09,7093,0051057093,1996,Qtr 2,juin,1,2018,Qtr 4,décembre,31,1996,Qtr 2,juin,1,2025,Qtr 4,octobre,2,N,N,EF PNEUMOLOGIQUES,CRPP,THORAX VAISSEAUX ORL,HOPITAL BEAUJON,NORD,AUTRES MEDICO-TECHNI,EXPLO.FON.PNEUMO,EXPLO.FON.PNEUMO,ldz_structure
12,92000003,H,106,005,NUP,NON,01,0106,0051060106,2011,Qtr 3,août,25,2016,Qtr 1,mars,10,2011,Qtr 3,août,25,2025,Qtr 4,octobre,2,N,N,ADMINISTRATION DU POLE,CRPP,RECH SANTE INFO MED,HOPITAL BEAUJON,NORD,ADMINISTRATION,GESTION POLE,GESTION POLE,ldz_structure
13,92320000,H,109,005,NUP,NON,07,1295,0051091295,1999,Qtr 1,janvier,1,2018,Qtr 4,décembre,31,1999,Qtr 1,janvier,1,2025,Qtr 4,octobre,2,O,N,GYNECOLOGIE OBSTETRIQUE INDIFFERENCIEE,CRPP,FEMMES ENFANTS URO,HOPITAL BEAUJON,NORD,CONSULTATIONS,CONSULT.GYNECO.OBSTE,CONSULT.GYNECO.OBSTE,ldz_structure
14,92351000,H,110,005,NUP,NON,80,3491,0051103491,1996,Qtr 4,octobre,7,2012,Qtr 1,janvier,1,1996,Qtr 4,octobre,7,2025,Qtr 4,octobre,2,N,N,PSYCHIATRIE ADULTES,CRPP,AGAP,HOPITAL BEAUJON,NORD,HOSPIT COMPL CONVENT,PSYCHIATRIE,PSYCHIATRIE,ldz_structure
15,92302340,H,110,005,NUP,NON,07,4102,0051104102,2007,Qtr 1,janvier,1,2018,Qtr 2,juin,1,2007,Qtr 1,janvier,1,2025,Qtr 4,octobre,2,N,N,MEDECINE GERIATRIQUE,CRPP,AGAP,HOPITAL BEAUJON,NORD,CONSULTATIONS,CONSULT GERIATRIE,CONSULT GERIATRIE,ldz_structure
