Somme de AUTO_NUM,CD_CC9,CD_CRP,CD_DMU,CD_ETA,CD_GHU,CD_GHU,CD_ETA,CD_UGL,CD_SHI,CD_TYPE_ACT,CD_UGC,CD_UGL,Année,Trimestre,Mois,Jour,Année,Trimestre,Mois,Jour,Année,Trimestre,Mois,Jour,Année,Trimestre,Mois,Jour,FL_ACTIF,FL_OF,LB_CC9,LB_CRP,LB_DMU,LB_ETA,LB_GHU,GHU,LB_ETA,LB_UGL,LB_TYPE_ACT,LB_UGC,LB_UGL,SOURCE
15469,"","",007,061,CUP,CUP,061,061007F713,NON,"",F713,061007F713,2019,Qtr 1,janvier,1,2019,Qtr 4,décembre,31,2019,Qtr 1,janvier,1,2024,Qtr 4,octobre,4,O,N,"","",REA URG ANESTH IMAG,GROUPE HOSPITAL.NECKER ENFANTS MALADES,CENTRE,CENTRE,GROUPE HOSPITAL.NECKER ENFANTS MALADES,REANIMATION PED,MANQUANT,REANIMATION PED,REANIMATION PED,fact_effectifs
16931,"","",013,401,SC1,SC1,401,401013F040,NON,"",F040,401013F040,2022,Qtr 1,janvier,1,2022,Qtr 4,décembre,31,2022,Qtr 1,janvier,1,2024,Qtr 4,octobre,4,O,N,"","",DAM,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,DPQAM,MANQUANT,DPQAM,DPQAM,fact_effectifs
14424,"","",506,016,CUP,CUP,016,016506F108,NON,"",F108,016506F108,2020,Qtr 1,janvier,1,2020,Qtr 4,décembre,31,2020,Qtr 1,janvier,1,2024,Qtr 4,octobre,4,O,N,"","",GERIATRIE,GH BROCA-LA COLLEGIALE,CENTRE,CENTRE,GH BROCA-LA COLLEGIALE,SLD G1 BRC,MANQUANT,SLD G1 BRC,SLD G1 BRC,fact_effectifs
14594,"","",515,021,CUP,CUP,021,021515F675,NON,"",F675,021515F675,2021,Qtr 1,janvier,1,2021,Qtr 4,décembre,31,2021,Qtr 1,janvier,1,2024,Qtr 4,octobre,4,O,N,"","",HEMAT-CANC SP MED-CH,GH COCHIN,CENTRE,CENTRE,GH COCHIN,HÉPATOLOGIE ET ADDICTOLOGIE,MANQUANT,HÉPATOLOGIE ET ADDICTOLOGIE,HÉPATOLOGIE ET ADDICTOLOGIE,fact_effectifs
11411,92000000,B,997,090,CUP,CUP,090,0909970106,NON,01,0106,0909970106,2022,Qtr 1,janvier,31,,,,,2022,Qtr 1,janvier,31,2025,Qtr 4,octobre,13,O,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPAB,ADM LOG TECH,HOPITAL DE VAUGIRARD-GABRIEL PALLEZ,CENTRE,CENTRE,HOPITAL DE VAUGIRARD-GABRIEL PALLEZ,DIR GENERALE USLD,ADMINISTRATION,DIR GENERALE USLD,DIR GENERALE USLD,ldz_structure
12637,92000000,H,001,401,SC1,SC1,401,4010010001,NON,01,0001,4010010001,1996,Qtr 2,juin,1,,,,,1996,Qtr 2,juin,1,2025,Qtr 4,octobre,13,O,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIRECTION GENERALE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,DIRECTION GENERALE,ADMINISTRATION,DIRECTION GENERALE,DIRECTION GENERALE,ldz_structure
12638,92000000,H,001,401,SC1,SC1,401,4010010002,NON,01,0002,4010010002,1996,Qtr 2,juin,1,,,,,1996,Qtr 2,juin,1,2025,Qtr 4,octobre,13,O,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIRECTION GENERALE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,DIRECTION CABINET,ADMINISTRATION,DIRECTION CABINET,DIRECTION CABINET,ldz_structure
12639,92000000,H,001,401,SC1,SC1,401,4010010003,NON,01,0003,4010010003,1996,Qtr 2,juin,1,2020,Qtr 4,décembre,31,1996,Qtr 2,juin,1,2025,Qtr 1,janvier,29,O,N,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIRECTION GENERALE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,DGA,ADMINISTRATION,DGA,DGA,ldz_structure
12641,92000000,H,001,401,SC1,SC1,401,4010010070,NON,01,0070,4010010070,2009,Qtr 1,janvier,1,,,,,2009,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,O,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIRECTION GENERALE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,SECRE DIR GENERALE,ADMINISTRATION,SECRE DIR GENERALE,SECRE DIR GENERALE,ldz_structure
12642,92000000,H,001,401,SC1,SC1,401,4010010072,NON,01,0072,4010010072,2009,Qtr 1,janvier,1,,,,,2009,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,N,O,EQUIPES DE DIRECTION ET DEPENSES DE GES,CRPP,DIRECTION GENERALE,ADMINISTRATION GENERALE   A.P.H.P.,SERVICES CENTRAUX,SERVICES CENTRAUX,ADMINISTRATION GENERALE   A.P.H.P.,GEST CRISE SECURITE,ADMINISTRATION,GEST CRISE SECURITE,GEST CRISE SECURITE,ldz_structure
